"bill","dateOfDine","comments","response","ip_addr","source","timestamp","cleanliness_rating","satisfaction_rating","recommendation_rating","restaurant_name","email","store_number","telephone","address","city","state","zip","lat","lon"
"72.96","2010-03-15","Service was very suboptimal.",\N,"0.0.0.0","unknown","2010-03-18 18:41:20","90","85","96","Rock Bottom Brewery",\N,"1087","4809987777","8668 E Shea","Scottsdale","AZ","85260","33.589354","-111.793622"
"0.00","2010-01-01","Fine dining.",\N,"75.86.248.248","unknown","2011-06-03 02:46:56","100","100","100","Jake's Restaurants","recipe@foodspot.com",\N,"2627817995","21445 Gumina Rd","Pewaukee","53072-2936","53072","43.0904156","-88.1506934"
"20.78","2010-03-17","",\N,"0.0.0.0","unknown","2010-03-18 18:38:09","90","96","96","Uncle Sam's",\N,"","4804191111","10520 N 90th","Scottsdale","AZ","85258","33.5817447","-111.8862547"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-07-08 18:46:07","73","75","75","Little Anita's",\N,"","505242-3202","Rio Grande NW","Albuquerque","NM","87107","35.2010831","-106.6256982"
"102.85","2010-03-10","No Toilet tissue in bathrooms.",\N,"0.0.0.0","unknown","2010-04-10 06:51:13","84","85","85","Red Lobster",\N,"","6029965470","4802 E Cactus Rd","Scottsdale","AZ","85254","33.5979866","-111.9779919"
"23.94","2010-03-19","Service was fast. Food was good. Reasonable price",\N,"0.0.0.0","unknown","2010-03-28 11:57:29","89","96","96","Tequileria ",\N,"A16","9725743844","200 E Airfield Dr, Airport Terminal A","Dallas Fort Worth","TX","75261","32.9935605","-97.3096834"
"46.30","2010-02-04","Very nice lunch. Not a lot of healthy choices.",\N,"0.0.0.0","unknown","2011-04-14 02:21:13","88","88","96","Fish House",\N,\N,"2397656766","7225 Estero Boulevard","Fort Myers Beach","FL","33931","26.413626","-81.898689"
"12.67","2010-03-28","Excellent price. Fast service. My breakfast sandwich tasted like the muffin had been soaked in grease.",\N,"0.0.0.0","unknown","2010-03-28 12:00:39","95","85","95","Terri's Summer Breeze Cafe",\N,\N,"2399920275","3300 Bonita Beach Road","Bonita Springs","FL","34134","26.33251","-81.80861"
"52.65","2010-01-10","",\N,"0.0.0.0","unknown","2010-02-04 20:28:16","84","85","85","Turley's","turleysrestaurant@yahoo.com","112","3034422800","2805 Pearl Street","Boulder","CO","80301","40.0149856","-105.2705456"
"78.50","2010-12-31","",\N,"0.0.0.0","unknown","2011-06-02 09:29:19","90","96","96","Pagliacci's","webmaster@ipagliaccio.com","","3034580530","1440 W. 33rd Ave","Denver","CO","80211","39.763039","-105.0037849"
"9.74","2010-02-21","",\N,"0.0.0.0","unknown","2010-04-11 07:00:26","68","75","75","Subway",\N,"41984","4097622500","500 Seawall Blvd","Galveston","TX","77550","29.306656","-94.772605"
"14.59","2010-02-21","Great value!",\N,"0.0.0.0","unknown","2010-02-22 14:01:26","84","90","96","Chili's",\N,"1226","4097661690","500 Seawall Blvd","Galveston","TX","77550","29.3013479","-94.7976958"
"71.42","2010-02-22","",\N,"0.0.0.0","unknown","2010-04-11 07:00:42","68","75","84","Landry's Seafood House",\N,"","2813342513","#1 Boardwalk","Kemah","TX","77565","29.5427297","-95.0204837"
"9.64","2010-02-24","Server was asked why she wasn't wearing gloves while touching serving bowls. She responded with \"I just washed my hands\". Continued to serve without gloves even though other servers were using gloves.",\N,"0.0.0.0","unknown","2010-07-11 03:35:26","85","85","85","Modmarket",\N,"1212","3032516284","1600 28th Street","Boulder","CO","80301","40.016049","-105.257261"
"23.92","2010-03-07","Silverware had dried food.",\N,"0.0.0.0","unknown","2010-03-08 14:31:53","89","85","85","Olive Garden","yourname@address.com","","3032310083","7655 W Alameda","Lakewood","CO","77125","39.71167","-105.082583"
"29.58","2010-03-08","French toast was undercooked and soggy.",\N,"0.0.0.0","unknown","2010-03-08 14:37:03","90","90","90","Le Peep Restaurants - Lakewood","lepeep4w@aol.com",\N,"3039861032","141 Union Boulevard Suite 101","Lakewood","CO","80228","39.715832","-105.134443"
"36.58","2010-03-06","Burger was red and bloody inside despite my request to have it cooked fully.",\N,"0.0.0.0","unknown","2010-03-08 14:41:21","78","85","80","Obregan's",\N,"","9725743844","4761 Estero Blvd","Fairplay","TX","80440","39.3661212","-105.9734725"
"198.05","2010-02-23","Delightful setting. Great service. Interesting food. Endless tea.",\N,"0.0.0.0","unknown","2010-03-26 21:20:26","90","96","96","Boulder Dushanbe Teahouse",\N,"","3034424993","1770 13th Street","Boulder","CO","80305","40.015728","-105.277018"
"86.53","2010-02-20","Cook and servers were noted to touch bread without gloved hands. Cook toughed his hair and face and then prepared food. Plates were wiped with a soiled towel.",\N,"0.0.0.0","unknown","2010-03-26 21:13:31","80","80","80","Saltwater Grill",\N,"","4097623474","2017 Post Office","Galveston","TX","77550","29.3052481","-94.7906426"
"9.73","2010-02-23","Server was cautious to use gloves.",\N,"0.0.0.0","unknown","2010-03-26 21:09:53","89","96","96","Hartsfield Hospital- Le Petit Bistro",\N,"","2818211042","3950 Terminal Rd S","Houston","TX","77032","29.986028","-95.3322718"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-07-08 18:46:34","94","94","94","Chilli's","","470","7195760440","1706 East Cheyenne Mountain","Colorado Springs","CO","80906","38.8338816","-104.8213634"
"0.00","2010-01-01","Very poor hygiene. Waiter reached over plates, glasses were touched on drinking lip. Food was not right temperature. Ground beef was still pink.",\N,"0.0.0.0","unknown","2010-07-08 18:48:51","80","80","80","Chilli's",\N,"597","9706636800","1425 Rocky Mountain Avenue","Loveland","CO","80538","40.3977612","-105.0749801"
"0.00","2010-01-01","","","0.0.0.0","unknown","2010-07-08 18:49:11","85","85","85","Panera Bread",\N,"3083","3035441800","1855 29th St","Boulder","CO","80301","40.0148004","-105.256081"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","Original Pancake House",\N,"112","3034491575","2600 Canyon Blvd","Boulder","CO","80302","40.0173635","-105.260448"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","78","78","78","BJs Boulder",\N,"413","3034029294","1125 Pearl Street","Boulder","CO","80302","40.0149856","-105.2705456"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","86","86","86","Casa Alvarez",\N,"","3035460630","3161 Walnut Street","Boulder","CO","80301","40.0201022","-105.2516307"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","North Shore Bistro",\N,"","4143516100","8649 N Port Washington","Fox Point","WI","53217","43.1723358","-87.9123626"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","Highland House","mail@highlandhouse.ws","","2622435844","12741 North Port Washington Road","Mequon","WI","53092","43.249899","-87.924837"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","85","85","85","Applebees",\N,"","7153770741","2201 Coulee Road","Hudson","WI","54016","44.9635398","-92.7285026"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","McCormick and Schmicks",\N,"","4144750700","2550 North Mayfair Road","Wauwatosa","WI","53226","43.0697167","-88.0477055"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","Baker Street Pub",\N,"","7209749490","1729 28th Street","Boulder","CO","80301","40.019365","-105.259502"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","Mesa Verde DIA",\N,"","3033426615","8500 Pena Blvd","Denver","CO","80249","39.854134","-104.668529"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-09-17 12:06:32","78","78","78","Old Chicago",\N,"7003","3082344531","115 South 2nd Ave","Kearney","NE","68847","40.6617273","-99.0860393"
"66.67","2009-11-04","",\N,"0.0.0.0","unknown","2010-09-17 12:05:57","95","95","95","Sam Buccos",\N,"","239-592-6050","14700 Tamiami Trail N. #5","Naples","FL","34110","26.3039663","-81.8041098"
"22.77","2009-11-14","",\N,"0.0.0.0","unknown","2010-09-17 12:03:32","90","90","90","Junkanoo On the Beach","junkanoo3040@aol.com",\N,"2394636139","3040 Estero Boulevard","Fort Myers Beach","FL","33931","26.4448915","-81.9356624"
"35.00","2011-01-07","",\N,"0.0.0.0","unknown","2011-01-09 09:41:25","100","100","100","Augustine Grill",\N,\N,"3038143663","519 Wilcox Street","Castle Rock","CO","80104","39.375154","-104.860352"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","Good Earth",\N,"","9529251001","3460 Galleria","Edina","MN","55435","44.8766122","-93.3258806"
"40.45","2009-10-18","",\N,"0.0.0.0","unknown","2010-09-17 12:07:54","84","84","84","The Buff",\N,"","3034429150","1725 28th St","Boulder","CO","80302","40.017891","-105.259782"
"73.86","2009-10-10","",\N,"0.0.0.0","unknown","2010-09-17 12:02:31","90","90","90","Strater Hotel",\N,"Mahogany Grill","970-247-4433","699 Main Avenue","Durango","CO","81301","37.271106","-107.881965"
"26.96","2009-09-20","",\N,"0.0.0.0","unknown","2010-09-17 12:04:38","80","80","80","Como Depot",\N,"","719-836-2594","17 6th St","Como","CO","80432","39.3168757","-105.8940827"
"0.00","2009-09-19","",\N,"0.0.0.0","unknown","2010-09-17 12:09:56","89","89","89","Fattys Pizzeria",\N,"","970-453-9802","106 South Ridge","Breckenridge","CO","80424","39.4823638","-106.0448572"
"59.42","2009-11-07","",\N,"0.0.0.0","unknown","2010-09-17 12:08:07","90","90","90","California Pizza Kitchen",\N,"112","3034403390","1171 29th Street","Boulder","CO","80301","40.0136375","-105.2560369"
"51.86","2009-10-31","Food did not seem very fresh.",\N,"0.0.0.0","unknown","2010-09-17 12:09:06","90","90","90","Bear Creek Grill",\N,"","8654301551","1657 E Parkway","Gatlinburg","TN","37738","35.7265274","-83.4750913"
"19.91","2009-11-17","",\N,"0.0.0.0","unknown","2010-09-17 12:07:16","90","90","90","Green Flash Restaurant",\N,"","2394723337","15183 Captiva Drive SW","Captiva","FL","33924","26.5220227","-82.1892614"
"11.96","2009-10-31","",\N,"0.0.0.0","unknown","2010-09-17 11:51:41","90","90","90","Waffle House",\N,"","615-885-4575","2340 Elm Hill Pk","Nashville","TN","37214","36.1658899","-86.7844432"
"14.58","2009-10-28","",\N,"0.0.0.0","unknown","2010-09-17 12:00:55","90","90","90","Cracker Barrel",\N,"223","5029554008","275 Brenton Way","Shepherdsville","KY","40165","38.064364","-85.694765"
"69.04","2009-11-20","",\N,"0.0.0.0","unknown","2010-09-17 12:00:13","79","79","79","Wildfire",\N,"","952-914-9100","3020 Eden Prairie Center","Eden Prairie","MN","55344","44.8571486","-93.4355307"
"23.44","2009-09-23","",\N,"0.0.0.0","unknown","2010-09-17 11:54:15","80","80","80","3 Margaritas ",\N,"","303-948-1454","5190 Wadsworth Blvd","Lakewood","CO","80213","39.621709","-105.0871541"
"20.00","2009-10-30","Server touched the glass edges.",\N,"0.0.0.0","unknown","2010-09-17 11:56:11","90","90","90","The Grill",\N,"","6154162001","222 5th Ave","Nashville","TN","37203","36.157887","-86.775897"
"61.54","2009-10-29","Floors were dirty.",\N,"0.0.0.0","unknown","2010-09-17 11:55:06","90","90","90","Big River",\N,"","6152514677","111 Broadway","Nashville","TN","37201","36.161694","-86.774732"
"64.52","2009-11-01","",\N,"0.0.0.0","unknown","2010-09-17 11:53:22","84","84","84","Chin Chin",\N,"","404-816-2229","3887 Peach Tree Rd","Atlanta","GA","30319","33.8575105","-84.3438907"
"31.84","2010-10-30","",\N,"0.0.0.0","unknown","2010-09-17 11:57:04","90","90","90","Chilis Too",\N,"","6155141800","433 Opry Mills Drive","Opry Mills","TN","37214","36.2026346","-86.6925807"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","90","90","90","McCall's Enterprises",\N,"","7198363404","511 Front Street","Fairplay","CO","80432","39.2238757","-106.0023778"
"27.39","2009-10-08","",\N,"0.0.0.0","unknown","2010-09-17 11:58:46","90","90","90","Cafe Dominic",\N,"","5059824743","320 S Guadalupe St.","Santa Fe","NM","87501","35.0844909","-106.6511367"
"12.90","2009-10-08","",\N,"0.0.0.0","unknown","2010-09-17 11:59:26","90","90","90","Maria's New Mexican Kitchen","marias@trail.com","","5059837929","555 W Cordova Rd","Santa Fe","87505-1843","87505","35.6723268","-105.949395"
"21.57","2009-10-10","",\N,"0.0.0.0","unknown","2010-09-17 11:58:03","85","85","85","Holiday Inn Santa Fe",\N,"","50547475470","4048 Cerillos Rd","Santa Fe","NM","87507","35.6458018","-106.0069047"
"202","2010-02-23","",\N,"0.0.0.0","unknown","2010-07-11 03:44:03","90","90","90","Boulder Dushanbe Teahouse",\N,"","3034424993","1770 13th Street","Boulder","CO","80305","40.015728","-105.277018"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","85","85","85","Chimicurri's",\N,"","2813600015","1660 West Lake Houston Parkway","Kingwood","TX","77339","30.0322941","-95.17393"
"0.00","2010-01-01","",\N,"0.0.0.0","unknown","2010-03-29 03:05:41","85","85","85","Zinc Bistro",\N,"","4806030922","15034 Suite 140 ","Phoenix","AZ","85254","33.596302","-111.987469"
"28.68","2010-04-15","Waiter continually  touched lip of glass when refiling. Also touched drinking part of straw.",\N,"0.0.0.0","unknown","2011-04-19 16:25:17","81","81","81","Village Pub",\N,\N,"2392622707","4360 Gulf Shore Boulevard North","Naples","FL","34103","26.1973596","-81.8126311"
"70.49","2010-04-16","Atmosphere was top. Clean. Elegant. Nice Dining experience. Loved seeing boats. Waited too long to be served. Had intestinal cramping and diarrhea after eating. Toilet stall smelled of urine.",\N,"0.0.0.0","unknown","2011-01-04 11:20:31","90","90","90","Bayfront Bistro",\N,\N,"2394633663","4761 Estero Blvd","Fort Myers Beach","FL","33931","26.436062","-81.9203639"
"74.20","2010-04-04","Beautiful Easter buffet. Unfortunately some of the food was uncovered, exposed to flies and the sun.",\N,"0.0.0.0","unknown","2011-01-04 11:21:30","90","85","85","Bayfront Bistro",\N,\N,"2394633663","4761 Estero Blvd","Fort Myers Beach","FL","33931","26.436062","-81.9203639"
"77.39","2010-04-14","Server touched lip of glass and straw. Also reached over food. Hamburgers were cooked still red. Cooks did wear gloves.",\N,"0.0.0.0","unknown","2010-04-18 19:38:20","85","85","85","Doc's Beach House Restaurant","jodi@docsbeachhouse.com",\N,"2399926444","27908 Hickory Boulevard","Bonita Springs","FL","34134","26.331777","-81.846162"
"20.57","2010-04-05","Server touched the lip of the glasses and put straws in the glass touching the drinking part of the straw.",\N,"0.0.0.0","unknown","2010-04-16 17:22:04","85","85","85","Flipper's","info@loverskey.com","","2397651040","8771 Estero Blvd","Fort Myers Beach","FL","33931","26.4046446","-81.8830097"
"45.00","2010-06-22","Great Place!","Thanks!","0.0.0.0","unknown","2010-12-03 05:12:27","90","95","95","Kathy's Diner","harlanstueven@gmail.com","","000-000-0000","25000 Hickory Blvd","Bonita Springs","FL","34134","26.3632102","-81.861165"
"18.42","2010-06-19","",\N,"0.0.0.0","unknown","2010-06-22 17:09:02","79","79","79","Applebee's Neighborhood Grill & Bar",\N,\N,"3034428813","1700 28th Street","Boulder","CO","80301","40.020016","-105.257768"
"135.43","2010-04-13","Excellent presentation, waitress and food. Unfortunately a server touched the bread while cutting, without using gloves. Same person dropped a new tablecloth on the floor and still put it on a table.",\N,"0.0.0.0","unknown","2010-04-14 00:31:17","79","79","79","Naples Tomato",\N,"","2395989800","14700 Tamiami Trail","Naples","FL","34110","26.3039663","-81.8041098"
"30.92","2010-04-12","Server touched the lip of the water glass.",\N,"0.0.0.0","unknown","2010-04-12 22:01:14","81","85","85","Parrot Key Caribbean Grill",\N,"","2394633257","2500  Main Street","Fort Myers","FL","33931","26.457462","-81.9431029"
"20.00","2010-04-01","This is a great home restaurant. Look at the fabulous setting!","I quite agree!","0.0.0.0","unknown","2010-03-31 20:24:37","90","95","95","Hilltop Hideaway","office@dininggrades.com","","000-000-0000","514  In the Woods","Fairplay","CO","80440","39.2473613","-105.92299"
"70.49","2010-04-16","Excellent setting. Fine Dining. Somewhat pricey. No clean towels in bathroom",\N,"0.0.0.0","unknown","2011-01-04 11:21:52","84","90","90","Bayfront Bistro",\N,\N,"2394633663","4761 Estero Blvd","Fort Myers Beach","FL","33931","26.436062","-81.9203639"
"33.00","2010-04-01","Fun Place. Great Food! Nice atmosphere. Great sunsets.","I quite agree!","0.0.0.0","unknown","2010-03-31 21:13:30","100","100","100","Kathy's Diner","harlanstueven@gmail.com","","000-000-0000","25000 Hickory Blvd","Bonita Springs","FL","34134","26.3632102","-81.861165"
"57.08","2010-03-28","Excellent Food. Excellent Service. Somewhat pricey.",\N,"0.0.0.0","unknown","2011-04-14 02:05:15","90","90","90","Blue Water Bistro",\N,"","2399492583","23151 Village Shops Way","Estero","FL","33926","26.438136","-81.8067523"
"34.16","2010-04-03","Cook was not wearing gloves.",\N,"0.0.0.0","unknown","2010-04-03 18:24:33","90","90","90","Fitzgerald's Irish Pub",\N,\N,"2399492111","9070 Bonita Beach Road","Bonita Springs","FL","34135","26.331085","-81.801753"
"64.32","2010-06-24","Waitress consistently reached over our plates to serve others at the table or to remove dirty dishes. ",\N,"0.0.0.0","unknown","2010-06-24 17:28:11","86","86","86","Bonefish Grill",\N,"1201","2627970166","18355 W Bluemound Rd","Brookfield","WI","53045","43.0357","-88.141"
"28.00","2011-04-06","Great setting!","Thanks for the compliment!","0.0.0.0","unknown","2011-05-14 19:27:53","90","95","95","Kathy's Diner","harlanstueven@gmail.com","","000-000-0000","25000 Hickory Blvd","Bonita Springs","FL","34134","26.3632102","-81.861165"
"21.84","2010-04-21","",\N,"0.0.0.0","unknown","2010-04-21 17:17:54","82","82","82","Wild Wing Cafe",\N,"","9127909464","27 Barnard Street","Savannah","GA","31401","32.0804576","-81.0943097"
"7.79","2010-05-13","all tables were dirty. overheard others complaining of same.",\N,"0.0.0.0","unknown","2010-05-13 14:29:22","84","84","84","Panera Bread",\N,"3083","3035441800","1855 29th St","Boulder","CO","80301","40.0148004","-105.256081"
"27.84","2010-04-21","Pickles looked stale. Pork was undercooked. Table and floor were dirty.",\N,"0.0.0.0","unknown","2010-05-10 08:36:54","78","78","78","Wild Wing Cafe",\N,"","9127909464","27 Barnard Street","Savannah","GA","31401","32.0804576","-81.0943097"
"65.73","2010-04-25","Floor around table and some chairs were dirty. Utensils were dirty.",\N,"0.0.0.0","unknown","2010-04-26 02:24:49","78","78","78","Uncle Julio's-Reston",\N,"","7039040703","1827 Library Street","Reston","VA","22090","38.9584954","-77.3585933"
"16.50","2010-04-25","Bartender touched ice, drinking lip of glass and condiments with bare hands.",\N,"0.0.0.0","unknown","2010-04-26 02:28:32","95","95","95","Uncle Julio's-Reston",\N,"","7039040703","1827 Library Street","Reston","VA","22090","38.9584954","-77.3585933"
"55.69","2010-04-25","Excellent setting. Great service.",\N,"0.0.0.0","unknown","2010-04-26 02:32:26","90","90","90","The Pub and Restaurant",\N,"","7173347100","20-22 Lincoln Square","Gettysburg","PA","17325","39.8313","-77.2313"
"53.79","2010-04-22","No one wore gloves in the kitchen. Multiple persons were seen touching food. Waiter cut the bread on a cutting board using bare hands. Cutting table was used as a counter to lean on and place clipboards.",\N,"0.0.0.0","unknown","2010-04-26 02:38:01","85","85","85","Blue Talon Bistro",\N,"","7574762583","420 Prince George St.","Williamsburg","VA","23185","37.27221","-76.7062905"
"15.40","2010-04-23","Food was presented with a plastic cover to prevent contamination. Nice touch.",\N,"0.0.0.0","unknown","2010-04-26 02:43:27","90","90","90","Colonial Williamsburg",\N,"","8004478679","PO Box 1776","Williamsburg","VA","23187","37.2707","-76.7078"
"41.10","2010-04-23","Nice setting. Great service.",\N,"0.0.0.0","unknown","2010-04-26 02:47:17","90","90","90","The Whaling Company",\N,"","7572290275","494 McLaws Circle","Williamsburg","VA","23185","37.248539","-76.661064"
"7.13","2010-04-22","Server wore gloves and was cautious not to touch anything but food or prep surfaces.",\N,"0.0.0.0","unknown","2010-04-26 02:51:37","95","95","95","Subway",\N,"38439","8034953335","7585 Myrtle Beach Hwy","Gable","SC","29051","33.903291","-80.0964"
"0","2010-04-01","Nice atmosphere, friendly staff",\N,"0.0.0.0","unknown","2010-05-08 15:24:47","90","95","95","Grille 26",\N,"","6054441716  ","1716 S Western Ave","Sioux Falls","SD","57105","43.5499749","-96.700327"
"30.95","2010-05-11","Witnessed cook handling food without gloves. He put the serving tongs over his belt while cooking. Waitress putting silverware in napkins and handling eating part of tableware.",\N,"0.0.0.0","unknown","2010-05-13 14:34:19","85","94","83","Downstairs at Eric's","webmaster@downstairsaterics.com","","9704531401","111S Main St.","Breckenridge","CO","80424","39.5752408","-106.1049615"
"136.65","2010-05-08","",\N,"0.0.0.0","unknown","2010-05-13 14:37:17","86","86","86","Outback Steakhouse",\N,"628","3036848149","1315 Dry Creek Drive","Longmont","CO","80501","40.1492663","-105.1338333"
"36.00","2010-05-15","",\N,"0.0.0.0","unknown","2010-05-16 15:06:44","95","95","95","Chianti Grill",\N,"","6516442808","2050 North Snelling Avenue","Roseville","MN","55113","45.003027","-93.16543"
"6.47","2010-05-14","Cook staff always wear gloves. There was a hair inside the glass.",\N,"0.0.0.0","unknown","2010-05-17 06:39:14","85","85","96","Jimmy John's",\N,"1094","3037727769","210 Ken Pratt Blvd","Longmont","CO","80501","40.1523924","-105.0929956"
"13.33","2010-05-16","Cook only wore glove on one hand??",\N,"0.0.0.0","unknown","2010-05-17 06:42:00","89","96","96","Arbys",\N,"6573","5635570531","1755 John F Kennedy Rd","Dubuque","IA","52002","42.4956687","-90.7197816"
"29.59","2010-05-01","Server touched the drinking part of the straw.",\N,"0.0.0.0","unknown","2010-05-17 06:52:07","85","96","96","Red  Robin Gourmet Burgers",\N,"","4144212257","7575 Edgerton Ave.","Greenfield","WI","53220","42.9520706","-88.0079098"
"22.00","2010-04-27","",\N,"0.0.0.0","unknown","2010-05-17 06:54:59","90","96","96","Chili's Grill and Bar",\N,"","8478551025","6030 Grand Avenue","Gurnee","IL","60031","42.38378","-87.954638"
"152.25","2010-05-03","",\N,"0.0.0.0","unknown","2011-05-28 12:12:32","86","96","96","River Lane Inn",\N,"","4143541995","4313 W River Lane","Brown Deer","WI","53223","43.1776898","-87.9647452"
"16.91","2010-05-02","Need to spend some attention on the floors and tables.",\N,"0.0.0.0","unknown","2010-05-17 07:00:57","84","85","85","Cosi","contactus@getcosi.com","079","4142286930","8775 N Port Washington Rd","Milwaukee","53217-2213","53217","43.1762362","-87.9129484"
"7.31","2010-04-27","",\N,"0.0.0.0","unknown","2010-05-17 07:03:49","95","96","96","McDonalds",\N,"24444","7244447344","200 Walmart Drive","Gibsonia","PA","15044","40.621425","-79.944361"
"51.03","2010-04-26","",\N,"0.0.0.0","unknown","2010-05-17 07:06:04","81","85","85","China Starr",\N,"","7034358666","1800 Michael Faraday","Reston","VA","20190","38.948829","-77.333676"
"1.39","2010-05-15","",\N,"0.0.0.0","unknown","2010-05-17 07:08:25","95","96","96","Tropical Sno",\N,"","9703527036","923 16th Street","Greeley","CO","80631","40.4137733","-104.6937643"
"6.78","2010-05-17","",\N,"0.0.0.0","unknown","2010-05-18 11:25:53","89","89","89","Smashburger",\N,"","3039269700","2755 Dagny Way","Lafayette","CO","80026","39.9935959","-105.0897058"
"36.89","2010-05-19","Server touched drinking part of straw.",\N,"0.0.0.0","unknown","2010-05-19 15:06:40","84","85","85","Highland House","mail@highlandhouse.ws","","2622435844","12741 North Port Washington Road","Mequon","WI","53092","43.249899","-87.924837"
"44.50","2010-05-22","Meat was slightly warm and seemed leftover. French fries were cool and dry. Table had old food crusting between slats. Bathroom without soap.",\N,"0.0.0.0","unknown","2010-05-25 19:01:08","73","75","75","Milwaukee Ale House",\N,\N,"4142262337","233 North Water Street","Milwaukee","WI","53202","43.033387","-87.909546"
"38.33","2010-05-28","Great food. Great atmosphere.",\N,"0.0.0.0","unknown","2010-05-29 19:09:49","90","96","96","Jinja Bar & Bistro",\N,"","5058561413","8900 Holly Ave NE Suite B","Albuquerque","NM","87122","35.175083","-106.545035"
"27.83","2010-05-27","Chips basket was served with salsa contaminant on outside. Waitress apologized and replaced.",\N,"0.0.0.0","unknown","2010-05-29 19:23:18","78","85","85","Senor Luna",\N,"","2623757344","2185  Wisconsin Avenue","Grafton","FL","53024","43.3292884","-87.9352149"
"20.00","2010-05-28","Hamburger was served pink even though I specifically asked for it to be medium well. Waiter was very apologetic, kindly replaced it and then didn't charge me. Very polite and considerate service. Putting straws in glasses and touching the drinking part of",\N,"0.0.0.0","unknown","2011-05-28 12:22:50","84","96","96","Rock Bottom Restaurant & Brewery",\N,"1068","4142763030","740 N Plankinton Avenue #1","Milwaukee","WI","53203","43.039862","-87.9117009"
